author,title,Dimensions,ISBN-10,ISBN-13,Language,Print length,Publication date,Publisher,Lexile measure,Reading age,Grade level
Kim Stanley Robinson,"Red Mars (Mars Trilogy)
",4.2 x 1.2 x 6.9 inches,0553560735,978-0553560732,English,572 pages,"November 1, 1993",Spectra,,,
Bill Gates,"The Road Ahead: Completely Revised and Up-to-Date
",5.84 x 0.96 x 8.96 inches,0140260404,978-0140260403,English,332 pages,"November 1, 1996",Penguin Books,,,
Dava Sobel,"Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time
",4.48 x 0.53 x 7.48 inches,0140258795,978-0140258790,English,192 pages,"October 1, 1996",Penguin Books,1310L,18 years and up,
,"NetMarketing (Net books)
",6 x 1 x 9 inches,0679770313,978-0679770312,English,337 pages,"October 15, 1996",Madison Books,,,
Michael Moore,"Downsize This!
",6 x 1.25 x 9 inches,051770739X,978-0517707395,English,278 pages,"January 15, 1996",Crown,,,
Mary Meeker,"Morgan Stanley the Internet Report
",8.75 x 0.75 x 10.75 inches,0887308260,978-0887308260,English,352 pages,"May 1, 1996",Harperbusiness,,,
James P. Womack,"Lean Thinking : Banish Waste and Create Wealth in Your Corporation
",,,,,,,,,,
Mark Olshaker,"Mind Hunter: Inside the FBI's Elite Serial Crime Unit
",4.19 x 1.2 x 6.75 inches,0671528904,978-0671528904,English,397 pages,"August 1, 1996",Pocket Books,,,
J. Michael Straczynski,"The Complete Book of Scriptwriting
",6.5 x 1.5 x 9.5 inches,9780898795127,978-0898795127,English,448 pages,"October 15, 1996",Writers Digest Books,,,
Charles Frazier,"Cold Mountain
",6.5 x 1.25 x 9.75 inches,0871136791,978-0871136794,English,356 pages,"May 16, 1997",Atlantic Monthly Press,1140,,
Jon Krakauer,"Into Thin Air: A Personal Account of the Mount Everest Disaster
",6.48 x 1.06 x 9.51 inches,0679457526,978-0679457527,English,293 pages,"April 22, 1997",Villard,1320L,,
Sebastian Junger,"The Perfect Storm: A True Story of Men Against the Sea
",5.9 x 0.9 x 8.6 inches,039304016X,978-0393040166,English,240 pages,"May 17, 1997",W.W. Norton,1140L,,
John Hagel III,"Net Gain: Expanding Markets through Virtual Communities
",6.75 x 1 x 9.75 inches,0875847595,978-0875847597,English,256 pages,"January 23, 1997",Harvard Business Review Press,,,
Richard Carlson,"Don't Sweat the Small Stuff . . . and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series)
",5.5 x 0.88 x 6.63 inches,0786881852,978-0786881857,English,272 pages,"January 16, 1997",Hachette Books,,,8 and up
Edward R. Tufte,"Visual Explanations: Images and Quantities, Evidence and Narrative
",,,,,,,,,,
Mary McGarry Morris,"Songs in Ordinary Time (Oprah's Book Club)
",5.08 x 1.62 x 7.76 inches,0140244824,978-0140244823,English,768 pages,"August 1, 1996",Penguin Books,,18 years and up,
Arundhati Roy,"The God of Small Things
",6.25 x 1.25 x 9 inches,0679457313,978-0679457312,English,321 pages,"April 22, 1997",Random House,,,
,"The Motley Fool Investment Guide: How the Fools Beat Wall Street's Wise Men and How You Can Too
",5.5 x 0.75 x 8.5 inches,0684827034,978-0684827032,English,304 pages,"June 2, 1997",Fireside,,,
Thomas J. Stanley,"The Millionaire Next Door: The Surprising Secrets of America's Wealthy
",6.3 x 0.82 x 9.2 inches,1563523302,978-1563523304,English,258 pages,"October 28, 1996",Longstreet Press,,,
Ursula Hegi,"Stones from the River
",5.25 x 1.1 x 8 inches,068484477X,978-0684844770,English,525 pages,"March 1, 1995",Simon & Schuster,1140L,,
John Berendt,"Midnight in the Garden of Good and Evil
",5.73 x 1.28 x 9.51 inches,0679429220,978-0679429227,English,388 pages,"January 13, 1994",Random House,,,
Steven Pinker,"How the Mind Works
",6.75 x 2.25 x 9.75 inches,0393045358,978-0393045352,English,660 pages,"October 1, 1997",W W Norton & Co Inc,,,
Evan I. Schwartz,"Webonomics : Nine Essential Principles for Growing Your Business on the World Wide Web
",6.5 x 1.25 x 10 inches,0553061720,978-0553061727,English,256 pages,"January 15, 1997",Broadway,,,
Jerry I. Porras,"Built to Last: Successful Habits of Visionary Companies
",5.5 x 0.75 x 8.25 inches,0887307396,978-0887307393,English,368 pages,"January 15, 1997",Harperbusiness,,,
Erich Gamma,"Design Patterns: Elements of Reusable Object-Oriented Software
",,,,,,,,,,
Kaye Gibbons,"Ellen Foster
",5.15 x 0.38 x 7.99 inches,0375703055,978-0375703058,English,126 pages,"May 1, 1990",Vintage Books,,,
,"The All New All Purpose: Joy of Cooking
",6.63 x 2.3 x 9.25 inches,0684818701,978-0684818702,English,1152 pages,"November 5, 1997",Scribner,,,
Robert B. Cialdini,"Influence: The Psychology of Persuasion
",,,,,,,,,,
,"Eight Weeks to Optimum Health (Proven Program for Taking Full Advantage of Your Body's Natural Healing Power)
",6.54 x 1.34 x 9.54 inches,0679447156,978-0679447153,English,288 pages,"March 4, 1997",Knopf,,,
Monty Roberts,"The Man Who Listens to Horses: The Story of a Real-Life Horse Whisperer
",6.3 x 0.9 x 9.6 inches,0679456589,978-0679456582,English,258 pages,"August 5, 1997",Random House,,,
Thomas Pynchon,"Mason & Dixon: A Novel
",6.62 x 2.2 x 9.58 inches,0805037586,978-0805037586,English,784 pages,"April 15, 1997",Henry Holt and Co.,,,
Don DeLillo,"Underworld
",6.56 x 1.93 x 9.58 inches,0684842696,978-0684842691,English,827 pages,"October 3, 1997",Scribner,,,
John Grisham,"The Partner: A Novel
",6.3 x 1.2 x 9.6 inches,0385487940,979-0385472950,English,368 pages,"February 26, 1997",Doubleday,790L,,
Wally Lamb,"She's Come Undone
",5.31 x 1.2 x 8.25 inches,0671003755,978-0671003753,English,480 pages,"December 1, 1996",,760L,,
Ernest J. Gaines,"A Lesson Before Dying (Oprah's Book Club)
",5.17 x 0.56 x 7.96 inches,9780375702709,978-0375702709,English,256 pages,"September 1, 1994",Vintage,750L,,
Kaye Gibbons,"A Virtuous Woman (Oprah's Book Club)
",5.2 x 0.49 x 8 inches,0375703063,978-0375703065,English,165 pages,"November 5, 1997",Vintage Books,,,
Harry Beckwith,"Selling the Invisible: A Field Guide to Modern Marketing
",5.25 x 0.92 x 7.88 inches,0446520942,978-0446520942,English,272 pages,"March 1, 1997",Business Plus,,,
Kitty Kelley,"The Royals
",6.5 x 2 x 10 inches,9780446517126,978-0446517126,English,547 pages,"September 1, 1997",Warner Books,,,
Jared Diamond,"Guns, Germs and Steel: The Fates of Human Societies
",6.5 x 1.5 x 9.75 inches,0393038912,978-0393038910,English,480 pages,"March 1, 1997",W W Norton & Co Inc,,,
Bjarne Stroustrup,"The C++ Programming Language
",,,,,,,,,,
Robert S. Kaplan,"The Balanced Scorecard: Translating Strategy into Action
",6.75 x 1.25 x 9.75 inches,9780875846514,978-0875846514,English,336 pages,"September 1, 1996",Harvard Business Review Press,,,
Michael L. Dertouzos,"What Will Be: How the World of Information Will Change Our Lives
",6.75 x 1.25 x 9.75 inches,0062514792,978-0062514790,English,320 pages,"March 6, 1997",HarperOne,,,
,"Starship Troopers
",4.19 x 0.89 x 7.5 inches,0441783589,978-0441783588,English,263 pages,"May 15, 1987",Ace,920L,,
,"Java in a Nutshell: A Desktop Quick Reference for Java Programmers (In a Nutshell (O'Reilly))
",,,,,,,,,,
Mark H. Beers,"The Merck Manual of Medical Information: Home Edition
",,,,,,,,,,
Esther Dyson,"Release 2.0
",6.37 x 1.03 x 9.52 inches,0767900111,978-0767900119,English,320 pages,"October 13, 1997",Broadway,,,
Sheri Reynolds,"The Rapture of Canaan
",5.4 x 0.86 x 8.01 inches,9780425162446,978-0425162446,English,320 pages,"January 1, 1997",Berkley Books,910L,,
Stephen E. Ambrose,"CITIZEN SOLDIERS : The U.S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany -- June 7, 1944-May 7, 1945
",6.5 x 1.5 x 10 inches,9780684815251,978-0684815251,English,512 pages,"November 3, 1997",Simon & Schuster,,,
Thomas A. Stewart,"Intellectual Capital
",6.5 x 1.25 x 10 inches,0385482280,978-0385482288,English,304 pages,"February 17, 1997",Doubleday Business,,,
Don Peppers,"Enterprise One to One: Tools for Competing in the Interactive Age
",5.5 x 1.25 x 7.75 inches,0385482051,978-0385482059,English,464 pages,"December 1, 1996",A Currency Book (Doubleday),,,
Shirley O. Corriher,"CookWise: The Hows & Whys of Successful Cooking, The Secrets of Cooking Revealed
",8 x 1.61 x 10 inches,9780688102296,978-0688102296,English,524 pages,"August 21, 1997",William Morrow Cookbooks,,,
Caleb Carr,"The Angel of Darkness
",6.75 x 2.25 x 10 inches,0679435328,978-0679435327,English,629 pages,"September 16, 1997",Random House,,,
Neale Donald Walsch,"Conversations with God: An Uncommon Dialogue, Book 1
",5.78 x 1.02 x 8.52 inches,0399142789,978-0399142789,English,223 pages,"October 29, 1996",G. P. Putnam's Sons,,,
Benjamin Graham,"The Intelligent Investor: A Book of Practical Counsel
",5.5 x 1.26 x 8.25 inches,9780060155476,978-0060155476,English,340 pages,"January 22, 1986",Harper & Row Publishers,,,
Seymour M. Hersh,"The Dark Side of Camelot
",6.5 x 1.75 x 9.75 inches,0316359556,978-0316359559,English,498 pages,"November 1, 1997",Little Brown & Co,,,
,"Client/Server Programming with Java and CORBA
",,,,,,,,,,
Patricia Cornwell,"Unnatural Exposure
",6.56 x 1.25 x 9.56 inches,0399142851,978-0399142857,English,338 pages,"July 14, 1997",Putnam Adult,,18 years and up,
David Sedaris,"Naked
",5.75 x 1 x 8.5 inches,0316779490,978-0316779494,English,291 pages,"March 1, 1997","Little, Brown",,,
,"Undaunted Courage: Meriwether Lewis, Thomas Jefferson, and the Opening of the American West
",6.13 x 1.3 x 9.25 inches,0684004542,978-0684004549,English,521 pages,"June 2, 1997",Simon & Schuster,1190L,,
Sarah Ban Breathnach,"Simple Abundance: A Daybook of Comfort of Joy
",5.75 x 1.63 x 9.5 inches,9780446519137,978-0446519137,English,528 pages,"November 15, 1995",Warner Books,,,
Timothy Ferris,"The Whole Shebang: A State-of-the-Universe(s) Report
",6.5 x 1.25 x 9.5 inches,0684810204,978-0684810201,English,393 pages,"January 1, 1997","Simon & Schuster, Inc.",,,
Regis McKenna,"Real Time: Preparing for the Age of the Never Satistied Customer
",5.75 x 1 x 8.75 inches,9780875847948,978-0875847948,English,204 pages,"January 15, 1997",Harvard Business Review Press,,,
Stephen King,"Wizard and Glass (Dark Tower)
",1.5 x 6 x 9.25 inches,0452279178,978-0452279179,English,688 pages,"November 1, 1997",Berkley,,,
John P. Kotter,"Leading Change
",6.38 x 0.87 x 9.37 inches,9780875847474,978-0875847474,English,208 pages,"January 1, 1996",Harvard Business School Press,,,
Victor Niederhoffer,"The Education of a Speculator
",,,,,,,,,,
Nelson DeMille,"Plum Island (A John Corey Novel, 1)
",6 x 1.32 x 9 inches,044651506X,978-0446515061,English,528 pages,"April 1, 1997",Grand Central Publishing,,,
Jim Carlton,"Apple:: The Inside Story of Intrigue, Egomania, and Business Blunders
",6.75 x 1.75 x 9.5 inches,0812928512,978-0812928518,English,463 pages,"October 15, 1997",Crown Business,,,
Arthur C. Clarke,"3001: The Final Odyssey
",6.75 x 1.25 x 10 inches,0345315227,978-0345315229,English,263 pages,"February 25, 1997",Del Rey,,,
Viktor E. Frankl,"Man's Search for Meaning
",0.5 x 4.25 x 6.75 inches,067166736X,978-0671667368,English,221 pages,"January 1, 1988",Pocket Books,,,
Katharine Graham,"Personal History
",6.64 x 2.14 x 9.53 inches,0394585852,978-0394585857,English,642 pages,"February 3, 1997",Alfred A. Knopf,,,
Maya Angelou,"The Heart of a Woman
",5.59 x 0.88 x 8.19 inches,0553380095,978-0553380095,English,336 pages,"June 1, 1997",Bantam,870L,,
,"The Goal: A Process of Ongoing Improvement
",6 x 1 x 9 inches,9780884270614,978-0884270614,English,384 pages,"May 1, 1992",North River Pr,,,
Martin Mayer,"The Bankers: The Next Generation The New Worlds of Money, Credit and Banking in an Electronic Age
",20 x 20 x 20 inches,0525938656,978-0525938651,English,528 pages,"January 1, 1997",Dutton Adult,,,
Steve McConnell,"Code Complete
",,,,,,,,,,
Michael Drosnin,"The Bible Code
",7.75 x 1.25 x 10 inches,0684810794,978-0684810799,English,272 pages,"May 29, 1997",Simon & Schuster,,,
Alan Cooper,"About Face: The Essentials of User Interface Design
",,,,,,,,,,
,"Designing Web Graphics 2
",,,,,,,,,,
Jon Krakauer,"Into the Wild
",5.16 x 0.51 x 7.95 inches,0385486804,978-0385486804,English,240 pages,"February 1, 1997",Anchor Books,1270L,,
P. D. James,"A Certain Justice (Adam Dalgliesh Mystery Series #10)
",6.75 x 1.25 x 10 inches,0375401091,978-0375401091,English,364 pages,"November 25, 1997",Alfred A. Knopf,,,
Joseph J. Ellis,"American Sphinx: The Character of Thomas Jefferson
",6.71 x 1.4 x 9.56 inches,0679444904,978-0679444909,English,384 pages,"February 4, 1997",Alfred A. Knopf,,,
Andrew S. Tanenbaum,"Computer Networks
",,,,,,,,,,
,"UML DISTILLED: APPLYING THE STANDARD OBJECT MODELLING LANGUAGE (OBJECT TECHNOLOGY SERIES)
",,,,,,,,,,
,"Microsoft NT Server Resource Kit (Microsoft Professional Editions)
",,,,,,,,,,
Barry Sears,"Mastering the Zone: The Next Step in Achieving SuperHealth and Permanent Fat Loss
",9.54 x 6.3 x 1.3 inches,9780060391904,,English,384 pages,"January 1, 1997",Regan Books,,,
,"The Gift of Fear : Survival Signals That Protect Us from Violence
",6 x 0.88 x 9 inches,0316235024,978-0316235020,English,334 pages,"June 1, 1997","Little, Brown and Company",,,
Gary Hamel,"Competing for the Future
",5.25 x 0.75 x 8.25 inches,9780875847160,978-0875847160,English,384 pages,"April 1, 1996",Harvard Business Review Press,,,
,"The Chicago Manual of Style: The Essential Guide for Writers, Editors, and Publishers (14th Edition)
",,,,,,,,,,
Broughton Coburn,"Everest : Mountain Without Mercy
",9.47 x 0.82 x 12.2 inches,0792270142,978-0792270140,English,256 pages,"October 1, 1997",National Geographic,,,
Carl Sagan,"Contact
",4.19 x 1.1 x 6.75 inches,0099469502,978-0099469506,English,448 pages,"July 1, 1997",Pocket Books,1010L,,
Tom Wolfe,"A Man in Full: A Novel
",6 x 1.81 x 9 inches,0374270325,978-0374270322,English,742 pages,"November 12, 1998","Farrar, Straus and Giroux",,,
Tom Clancy,"Rainbow Six
",6.38 x 2.19 x 9.38 inches,0399143904,978-0399143908,English,738 pages,"August 3, 1998",G.P. Putnam's Sons,,18 years and up,
Mitch Albom,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson
",5.27 x 0.84 x 7.53 inches,0385484518,978-0385484510,English,224 pages,"August 18, 1997",Doubleday,830L,,
Wally Lamb,"I Know This Much Is True
",6.12 x 1.71 x 9.25 inches,0060391626,978-0060391621,English,901 pages,"June 3, 1998",Regan Books,,,
Rebecca Wells,"Divine Secrets of the Ya-Ya Sisterhood: A Novel
",0.75 x 5.5 x 8 inches,0060928336,978-0060928339,English,368 pages,"May 7, 1997",Perennial,,,
Tom Brokaw,"The Greatest Generation
",6.45 x 1.49 x 9.52 inches,0375502025,978-0375502026,English,432 pages,"November 30, 1998",Random House,,,
Suze Orman,"The 9 Steps to Financial Freedom
",6.29 x 1.14 x 9.28 inches,0517707918,978-0517707913,English,288 pages,"March 25, 1997","Crown Publishers, Inc.",,,
Peter Jennings,"The Century
",9.5 x 1.5 x 11 inches,0385483279,978-0385483278,English,624 pages,"November 10, 1998",Doubleday,,,
Chris Bohjalian,"Midwives (Oprah's Book Club)
",5.2 x 0.8 x 8 inches,0375706771,978-0939416356,English,374 pages,"November 8, 1998",Vintage,1150L,,
Stephen King,"Bag of Bones
",6.54 x 1.73 x 9.56 inches,0684853507,978-0684853505,English,544 pages,"September 22, 1998",Scribner,,,
Sherry Sontag,"Blind Man's Bluff: The Untold Story Of American Submarine Espionage
",6.75 x 1.25 x 9.75 inches,1891620088,978-1891620089,English,384 pages,"October 19, 1998",PublicAffairs,1220L,,
Marc Friedfertig,"The Electronic Day Trader: Successful Strategies for On-line Trading
",6.25 x 0.75 x 9.25 inches,0070158088,978-0070158085,English,208 pages,"May 31, 1998",McGraw-Hill,,,
H. Leighton Steward,"Sugar Busters! Cut Sugar to Trim Fat
",5.87 x 0.95 x 8.53 inches,0345425588,978-1568658643,English,270 pages,"May 1, 1998",Ballantine Books,,,
John Grisham,"The Street Lawyer: A Novel
",6.46 x 1.13 x 9.54 inches,0385490992,978-0385490993,English,352 pages,"February 16, 1998",Doubleday,790L,,
Michael R. Eades,"Protein Power: The High-Protein/Low Carbohydrate Way to Lose Weight, Feel Fit, and Boost Your Health-in Just Weeks!
",4.13 x 1.09 x 6.86 inches,0553574752,978-0553574753,English,429 pages,"December 1, 1996",Bantam,,,
Robert Jordan,"The Path of Daggers (The Wheel of Time, Book 8) (Wheel of Time, 8)
",6.64 x 1.66 x 9.5 inches,0312857691,978-0312857691,English,528 pages,"October 20, 1998",Tor Books,,13 - 17 years,
,"Dr. Atkins' New Diet Revolution
",4.5 x 1.25 x 7 inches,0380727293,978-0380727292,English,417 pages,"January 25, 1997",Avon,,,
Harry S. Dent,"The Roaring 2000s: Building the Wealth and Life Style You Desire in the Greatest Boom in History
",6.45 x 1.06 x 9.56 inches,0684838184,978-0684838182,English,320 pages,"April 14, 1998",Simon & Schuster,,,
Toni Morrison,"Paradise
",6.56 x 1.33 x 9.56 inches,0679433740,978-0679433743,English,318 pages,"December 24, 1997",Knopf,,,
Arthur Golden,"Memoirs of a Geisha
",6.33 x 1.41 x 9.5 inches,0375400117,978-0375400117,English,448 pages,"September 23, 1997",Knopf,1000L,,
Anna Quindlen,"Black and Blue: A Novel
",6.33 x 1.01 x 9.52 inches,0375500510,978-0375500510,English,293 pages,"January 24, 1998",Random House,,,
Peter J. D'Adamo,"Eat Right 4 Your Type: The Individualized Diet Solution to Staying Healthy, Living Longer & Achieving Your Ideal Weight
",6.3 x 1.3 x 9.25 inches,9780399142550,978-0399142550,English,392 pages,"January 1, 1996",Berkley,,18 years and up,
Gary Zukav,"The Seat of the Soul
",5.5 x 0.7 x 8.44 inches,067169507X,978-0671695071,English,256 pages,"January 15, 1990",Fireside / Simon & Schuster,,,
Patricia Cornwell,"Point of Origin (A Scarpetta Novel)
",6.54 x 1.28 x 9.56 inches,0399143947,978-0399143946,English,272 pages,"July 6, 1998",G. P. Putnam's Sons,,18 years and up,
Billie Letts,"Where the Heart Is
",5.15 x 1 x 8 inches,0446672211,978-0733620188,English,376 pages,"June 30, 1998",Warner Books,860L,,
William J. Bennett,"Death of Outrage: Bill Clinton and the Assault on American Ideals
",5.75 x 1 x 9 inches,0684813726,978-0684813721,English,154 pages,"September 14, 1998",Free Press,,,
Alfred Lansing,"Endurance : Shackleton's Incredible Voyage
",5.25 x 0.75 x 8.5 inches,0881841781,978-0881841787,English,282 pages,"January 1, 1986",Carroll & Graf Publishers,,,
Jon Krakauer,"Into Thin Air: A Personal Account of the Mt. Everest Disaster
",4.5 x 1.25 x 7.25 inches,0385492081,978-0385492089,English,416 pages,"April 6, 1998",Anchor,1320L,,
Helen Fielding,"Bridget Jones's Diary
",,,,,,,,,,
Ron Chernow,"Titan: The Life of John D. Rockefeller, Sr.
",7 x 2 x 10 inches,0679438084,978-0679438083,English,800 pages,"May 5, 1998",Random House,,,
John Irving,"A Widow for One Year: A Novel
",6.75 x 2 x 10 inches,0375501371,978-0375501371,English,537 pages,"May 5, 1998",Random House,,,
,"The Emperor's New Clothes : An All-Star Retelling of the Classic Fairy Tale (with Audio CD)
",9.5 x 0.75 x 12.75 inches,0151004366,978-0151004362,English,96 pages,"October 22, 1998",Harcourt,,4 - 10 years,3 - 4
